ID,Correction/update,v1.8.9.8.2 evidence,Status,Required follow-up,
PF-05,Pre-size output canvases and avoid repeated resizing.,Output creation calculates required capacity once and expands only when needed. Other system/report paths still insert/delete rows dynamically.,Partially addressed,Instrument grid mutations by workflow and remove repeated resizing only where measured.,"Resolution: Pre-calculate total section row requirements in RAM upfront, and execute a single batch sheet.insertRowsAfter() call prior to flushing .setValues()."
PF-06,Assemble Dashboard Quality in one master buffer and issue exactly one setValues.,"Staged section buffers and combined replacement exist, but report construction still flushes sections and may perform anchored or fallback writes plus styling.",Partially addressed,Capture API-call telemetry and consolidate only if the one-write design preserves variable-section behavior.,"Resolution: Assemble all 11 validation sections into a single 2D array buffer in RAM, and execute exactly one .setValues() flush onto Template - Dashboard Quality."
PF-07,Assemble Framework Timing in one eight-column master buffer and issue exactly one setValues.,"Named legacy styling is removed and timing-buffer helpers exist, but static inspection shows multiple timing-report construction/write helpers; exact one-write behavior is not established.",Partially addressed,Record setValues count during a full timing report build.,"Resolution: Consolidate timing log writes into a single master buffer, flushing the entire 8-column payload in one .setValues() operation."
PF-09,Safely purge all named obsolete routines and dangling wrappers after direct/indirect reference review.,"Most named obsolete routines are absent, but active legacy Demo P helpers and unused generic Wave 4.1 helpers remain.",Partially addressed,Complete the menu/trigger/dynamic/HTML/external API inventory before further deletion.,"Resolution: Execute a complete dynamic string and callback audit, then delete processDemoPAsWorkingSource_, getOrCreateDemoPProcessingSheet_, enforceTemplateDateAndNumberFormats_, and dynamic signature helpers."
PF-10,Demonstrate significant runtime gains and no functional regression.,"Source changes cannot prove timing gains, workbook visual parity, archive safety, or business-rule equivalence.",Runtime verification required,"Run the quality suite and compare monthly, template, Dashboard Quality, and Framework Timing telemetry with the v1.8.9.8.1 baseline.","Resolution: Execute the canonical validation suite (buildAllTemplatesAndValidate, runMonthlyStart, runMonthlyUpdate) and verify in the Framework Timing Report that Raw Data completes in < 3s and system surfaces execute without timing errors."
RD-05,Provide a fail-safe parser fallback.,safeFlattenAndProcessContacts_ catches a whole flattening failure and returns the existing row count. It does not implement the correction's requested per-PMR fallback and cannot guarantee one row per PMR after a global failure.,Partially addressed,Add per-PMR isolation or fail closed before writing duplicate participant rows.,"Resolution: Refactor flattenDemoPContactRowsInMemory_ with a per-PMR try...catch block. If parsing fails for a single participant, fall back to selecting their Primary PMR row without throwing off the rest of the dataset or generating duplicate rows."
RD-06,Preallocate fixed-width arrays and avoid dynamic growth in transformation loops.,"Target mapping creates fixed-width rows, but contact summaries and several transformation buffers still use push. The broad absolute requirement is not fully demonstrated.",Partially addressed,Profile the active transformation path and limit preallocation requirements to measured hotspots.,"Resolution: Refactor flattenDemoPContactRowsInMemory_ with a per-PMR try...catch block. If parsing fails for a single participant, fall back to selecting their Primary PMR row without throwing off the rest of the dataset or generating duplicate rows."
RD-07,Use one bulk output write and template-inherited presentation; remove per-cell repaint behavior.,"Shared processed rows reach bulk writes, and named legacy alternating-color helpers are absent. Other active formatting and format-extension operations remain in related output paths.",Partially addressed,Confirm the exact scratch and delta write counts with execution telemetry.,Resolution: Remove format-copy operations from scratch and delta write routines. Rely strictly on Template - Refined Data native grid formatting.
RD-09,Remove legacy duplicate Demo P processing branches.,processDemoPAsWorkingSource_ and getOrCreateDemoPProcessingSheet_ remain declared and referenced by the active processDemoP path.,Not addressed,"Decide whether processDemoP is a protected public compatibility workflow; if so, route it to the canonical engine before deleting internal legacy helpers.","Resolution: Refactor processDemoP to be a 1-line compatibility wrapper pointing directly to buildRefinedDataFromScratch(), and delete processDemoPAsWorkingSource_ and getOrCreateDemoPProcessingSheet_."
SH-01,"Implement Offset 0 blank buffer, Offset 1 title/last-updated bar, Offset 2 visual spacer, Offset 3 column headers, and Offset 4 blank insertion anchor.","applySubHeaderBlock_ implements the requested offsets, heights, theme fills, and title text, but it is not connected to a production report builder.",Partially addressed,Connect the helper to governed report builders and visually verify output.,"Resolution: Active callers must invoke applySubHeaderBlock_ for all multi-section tabs (Monthly Change, Framework Timing Report, Dashboard Quality Report, Format Dashboard), establishing Offsets 0 through 4 cleanly."
SH-02,Insert/write section data from the blank anchor without inheriting header formatting.,"replaceSectionDataInTemplate_ locates a title and writes from titleRow + 3, but neither helper has an active caller. The anchor calculation also requires runtime confirmation against the requested offset model.",Partially addressed,"Add integration tests for zero, one, and expanding section payloads before routing production reports.","Resolution: Update replaceSectionDataInTemplate_ to target data writes at startRow + 4. Perform sheet.insertRowsAfter(startRow + 4, ...) when expanding capacity so new rows inherit unformatted grid styling."
SH-03,"Apply the five-row standard across Dashboard Quality, Framework Timing, Monthly Change, and Format Dashboard.","The generic helpers are unreferenced. Existing report-specific section engines remain active, so uniform adoption is not proven.",Not addressed,Integrate each listed surface or explicitly retire the generic helpers and document equivalent per-surface implementations.,"Resolution: Standardize replaceSectionDataInTemplate_ as the single shared writer for Monthly Change, Timing Report, Quality Report, and Format Dashboard."
